label,global_threshold,selected_threshold
RANCHEIRO__RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO,0.72,0.62
RANCHEIRO__RANCHEIRO ROSQUINHA RECHEADA DE CHOCOLATE RANCHEIRO,0.72,0.64
RANCHEIRO__RANCHEIRO BISCOITO QUEBRADOR RANC LIMAO,0.72,0.67
RANCHEIRO__RANCHEIRO BOX,0.72,0.67
RANCHEIRO__RANCHEIRO COOKIES RANCHEIRO,0.72,0.68
RANCHEIRO__RANCHEIRO ROSQUINHA RECHEADA DE MORANGO-CARAMELO RANCHEIRO,0.72,0.68
Mabel__Mabel Rosquinha Mabel Sabor Chocolate,0.72,0.69
RANCHEIRO__RANCHEIRO ROSQUINHA RECHEADA DE BAUNILHA RANCHEIRO,0.72,0.69
RANCHEIRO__RANCHEIRO WAFER RANCHEIRO BAUNILHA,0.72,0.7
RANCHEIRO__RANCHEIRO ROSQ RECHEADA RANCHEIRO CHOC-COCO,0.72,0.71
RANCHEIRO__RANCHEIRO WAFER RANCHEIRO CHOCOLATE,0.72,0.71
Adoralle__Adoralle Alimentos Cream Cracker,0.72,0.72
Adoralle__Adoralle Alimentos Laminados Doces Coco,0.72,0.72
Adoralle__Adoralle Alimentos Laminados Doces Leite,0.72,0.72
Adoralle__Adoralle Alimentos Rosquinhas Coco,0.72,0.72
Adoralle__Adoralle Alimentos Rosquinhas Leite,0.72,0.72
Emege__Emege Rosquinha Sabor Coco,0.72,0.72
Mabel__Mabel Amanteigado Mabel Sabor Coco,0.72,0.72
Mabel__Mabel Amanteigado Mabel Sabor Leite,0.72,0.72
Mabel__Mabel BOX,0.72,0.72
Mabel__Mabel Cookie Mabel Chocolate com gotas de chocolate,0.72,0.72
Mabel__Mabel Cookie Mabel Original com gotas de chocolate,0.72,0.72
Mabel__Mabel Cracker Agua e Sal,0.72,0.72
Mabel__Mabel Cream Cracker,0.72,0.72
Mabel__Mabel Laminado Doce Mabel Maisena,0.72,0.72
Mabel__Mabel Laminado Doce Mabel Sabor Chocolate,0.72,0.72
Mabel__Mabel Laminado Doce Mabel Sabor Leite,0.72,0.72
Mabel__Mabel Recheado Mabel Sabor Chocolate,0.72,0.72
Mabel__Mabel Recheado Mabel Sabor Morango,0.72,0.72
Mabel__Mabel Rosquinha Mabel Sabor Banana e Canela,0.72,0.72
Mabel__Mabel Rosquinha Mabel Sabor Coco,0.72,0.72
Mabel__Mabel Rosquinha Mabel Sabor Leite,0.72,0.72
RANCHEIRO__RANCHEIRO BISCOITO MARIA RANCHEIRO,0.72,0.72
RANCHEIRO__RANCHEIRO COOKIES CHOCOLATE RANCHEIRO,0.72,0.72
RANCHEIRO__RANCHEIRO ROSQUINHA BANANA-CANELA RANCHEIRO,0.72,0.72
RANCHEIRO__RANCHEIRO ROSQUINHA DE COCO RANCHEIRO,0.72,0.72
RANCHEIRO__RANCHEIRO ROSQUINHA RECHEADA DE MORANGO RANCHEIRO,0.72,0.72
RANCHEIRO__RANCHEIRO WAFER RANCHEIRO LIMAO,0.72,0.72
RANCHEIRO__RANCHEIRO WAFER RANCHEIRO MORANGO,0.72,0.72
Adoralle__Adoralle Alimentos Laminados Doces Maizena,0.72,0.73
Mabel__Mabel Amanteigado Mabel Sabor Chocolate,0.72,0.75
RANCHEIRO__RANCHEIRO CREAM CRACKER 65 RANCHEIRO,0.72,0.75
RANCHEIRO__RANCHEIRO BISCOITO MAIZENA RANCHEIRO,0.72,0.76
RANCHEIRO__RANCHEIRO CREAM CRACKER RANCHEIRO,0.72,0.81
