source_image,product_index,detector_confidence,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,crop_file,final_pred,is_rejected,best_label,best_score,effective_score_threshold,threshold_offset,second_label,second_score,margin,reject_reasons,nearest_price_tag_index,nearest_price,nearest_price_value,nearest_secondary_price,nearest_secondary_price_value,nearest_tertiary_price,nearest_tertiary_price_value,nearest_prices,nearest_price_values,nearest_sale_classification,nearest_is_promo,nearest_sale_reason,nearest_tag_color,price_tag_distance_px,aligned_price_tag_indices,aligned_price_tag_count
IMG_7373.HEIC,0,0.9733654856681824,950,1054,1278,1472,product_crops\product_0000_conf_0.97.jpg,Mabel__Mabel Rosquinha Mabel Sabor Leite,False,Mabel__Mabel Rosquinha Mabel Sabor Leite,0.7367237210273743,0.72,0.0,,,,[],,,,,,,,,,,,,,,,0
IMG_7373.HEIC,1,0.9727615118026733,648,1967,900,2239,product_crops\product_0001_conf_0.97.jpg,Mabel__Mabel Amanteigado Mabel Sabor Leite,False,Mabel__Mabel Amanteigado Mabel Sabor Leite,0.8960511445999145,0.72,0.0,,,,[],13,"11,99",11.99,,,,,"11,99",11.99,regular,False,image_single_palette,yellow,203.13849955141444,13,1
IMG_7373.HEIC,2,0.9721459150314331,902,1963,1177,2239,product_crops\product_0002_conf_0.97.jpg,Mabel__Mabel Amanteigado Mabel Sabor Leite,False,Mabel__Mabel Amanteigado Mabel Sabor Leite,0.9047165632247924,0.72,0.0,,,,[],,,,,,,,,,,,,,,,0
IMG_7373.HEIC,3,0.9714099764823914,1282,1058,1617,1469,product_crops\product_0003_conf_0.97.jpg,Mabel__Mabel Rosquinha Mabel Sabor Leite,False,Mabel__Mabel Rosquinha Mabel Sabor Leite,0.7966277718544006,0.72,0.0,,,,[],,,,,,,,,,,,,,,,0
IMG_7373.HEIC,4,0.970975399017334,460,1971,650,2236,product_crops\product_0004_conf_0.97.jpg,__Unknown__,True,Adoralle__Adoralle Alimentos Rosquinhas Leite,0.5340266227722168,0.72,0.0,RANCHEIRO__RANCHEIRO BISCOITO QUEBRADOR RANC LIMAO,0.5296069979667664,0.0044196248054504395,['low_score'],,,,,,,,,,,,,,,,0
IMG_7373.HEIC,5,0.9699596762657166,234,1972,461,2226,product_crops\product_0005_conf_0.97.jpg,__Unknown__,True,Mabel__Mabel Laminado Doce Mabel Sabor Chocolate,0.5599768459796906,0.72,0.0,RANCHEIRO__RANCHEIRO WAFER RANCHEIRO CHOCOLATE,0.5510043501853943,0.008972495794296265,['low_score'],4,"11,99",11.99,,,,,"11,99",11.99,regular,False,image_single_palette,white,217.06277893733878,4,1
IMG_7373.HEIC,6,0.9687961339950562,1611,1085,1960,1459,product_crops\product_0006_conf_0.97.jpg,Mabel__Mabel Rosquinha Mabel Sabor Chocolate,False,Mabel__Mabel Rosquinha Mabel Sabor Chocolate,0.877275538444519,0.69,-0.030000000000000027,,,,[],5,"4,99",4.99,,,,,"4,99",4.99,regular,False,image_single_palette,yellow,273.6991961990389,5,1
IMG_7373.HEIC,7,0.9678947329521179,975,320,1433,923,product_crops\product_0007_conf_0.97.jpg,RANCHEIRO__RANCHEIRO ROSQUINHA RECHEADA DE CHOCOLATE RANCHEIRO,False,RANCHEIRO__RANCHEIRO ROSQUINHA RECHEADA DE CHOCOLATE RANCHEIRO,0.7371292829513549,0.64,-0.07999999999999996,,,,[],1,"13,99",13.99,,,,,"13,99",13.99,regular,False,image_single_palette,yellow,406.85439655975205,1,1
IMG_7373.HEIC,8,0.9672573208808899,1435,1958,1674,2231,product_crops\product_0008_conf_0.97.jpg,Mabel__Mabel Amanteigado Mabel Sabor Coco,False,Mabel__Mabel Amanteigado Mabel Sabor Coco,0.9330218195915222,0.72,0.0,,,,[],,,,,,,,,,,,,,,,0
IMG_7373.HEIC,9,0.9654454588890076,0,1973,234,2234,product_crops\product_0009_conf_0.97.jpg,__Unknown__,True,Mabel__Mabel Laminado Doce Mabel Sabor Chocolate,0.5697523355484009,0.72,0.0,Mabel__Mabel Rosquinha Mabel Sabor Chocolate,0.5490038394927979,0.020748496055603027,['low_score'],6,"9,99",9.99,,,,,"9,99",9.99,regular,False,image_single_palette,white,182.0686683644388,6,1
