source_image,tag_index,detector_confidence,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,sale_classification,is_promo,sale_reason,sale_color_reason,sale_geometry_reason,sale_keyword_match,sale_baseline_color,sale_baseline_confidence,sale_baseline_source,tag_color,tag_red_ratio,tag_yellow_ratio,tag_background_lab_b,tag_background_saturation,tag_aspect_ratio,tag_area,tag_area_to_median_ratio,tag_area_to_shelf_median_ratio,sale_shelf_index,primary_price,primary_value,primary_price_confidence,secondary_price,secondary_value,secondary_price_confidence,tertiary_price,tertiary_value,tertiary_price_confidence,price_count,prices,price_values,crop_file,ocr_error,ocr_text,closest_product_index,closest_product_label,closest_product_score,closest_product_is_unknown,closest_product_is_rejected,closest_product_distance_px,preferred_product_index,preferred_product_label,preferred_product_distance_px,alignment_shelf_row_index,alignment_horizontal_offset_ratio,alignment_vertical_gap_ratio,alignment_match_cost,alignment_one_to_one_reassigned,alignment_one_to_one_rejection_count,aligned_product_index,aligned_product_label,aligned_product_score,aligned_product_is_unknown,aligned_product_is_rejected,alignment_corrected,alignment_correction_reason,alignment_consensus_label,alignment_consensus_votes,alignment_consensus_total,alignment_consensus_share,alignment_consensus_product_indices,alignment_distance_px,alignment_dx_px,alignment_dy_px,alignment_product_center_x,alignment_product_center_y,alignment_price_tag_center_x,alignment_price_tag_center_y,alignment_status
IMG_7283.HEIC,0,0.962492823600769,533,2000,667,2068,promo,True,yellow_vs_image_white,yellow_vs_image_white,,,white,0.9565217391304348,image_mixed_palette_white_anchor,yellow,0.0,0.996590611067401,62.0,145.0,0.5074626865671642,9112,1.0267042253521126,1.0190114068441065,3,"2,19",2.19,0.9999313354492188,,,,,,,1,"2,19",2.19,price_tag_crops\tag_0000_price_2_19.jpg,,"2,19 | 122",14,__Unknown__,0.5424442887306213,True,True,253.6518283001327,14,__Unknown__,253.6518283001327,3,0.42401960784313725,0.15087719298245614,0.43910732714138284,False,0,14,__Unknown__,0.5424442887306213,True,True,False,,,,,,,253.6518283001327,173.0,185.5,427.0,1848.5,600.0,2034.0,aligned_unknown
IMG_7283.HEIC,1,0.9619631171226501,1620,1998,1756,2067,promo,True,yellow_vs_image_white,yellow_vs_image_white,,,white,0.9565217391304348,image_mixed_palette_white_anchor,yellow,0.0,0.9957393483709274,61.0,141.0,0.5073529411764706,9384,1.0573521126760563,1.049429657794677,3,"2,19",2.19,0.9998605251312256,,,,,,,1,"2,19",2.19,price_tag_crops\tag_0001_price_2_19.jpg,,"2,19 | LOU",17,__Unknown__,0.5456357399622599,True,True,184.28578349943328,17,__Unknown__,184.28578349943328,3,0.041463414634146344,0.13275862068965516,0.054739276703111864,False,0,17,__Unknown__,0.5456357399622599,True,True,False,,,,,,,184.28578349943328,17.0,183.5,1671.0,1849.0,1688.0,2032.5,aligned_unknown
IMG_7283.HEIC,2,0.9599204063415527,1245,2000,1373,2067,promo,True,yellow_vs_image_white,yellow_vs_image_white,,,white,0.9565217391304348,image_mixed_palette_white_anchor,yellow,0.0,0.9941011235955056,62.0,146.0,0.5234375,8576,0.9663098591549296,0.9590695593826885,3,"2,19",2.19,0.9999823570251465,,,,,,,1,"2,19",2.19,price_tag_crops\tag_0002_price_2_19.jpg,,"2,19",39,__Unknown__,0.48148590326309204,True,True,192.94170103945908,39,__Unknown__,192.94170103945908,3,0.11016949152542373,0.12086092715231789,0.12225558424065552,False,0,39,__Unknown__,0.48148590326309204,True,True,False,,,,,,,192.94170103945908,45.5,187.5,1263.5,1846.0,1309.0,2033.5,aligned_unknown
IMG_7283.HEIC,3,0.9596556425094604,625,1549,767,1612,regular,False,image_base_color,matches_image_base_color,,,white,0.9565217391304348,image_mixed_palette_white_anchor,white,0.0,0.1406166932482722,23.0,49.0,0.44366197183098594,8946,1.008,1.0883211678832116,2,"7,19",7.19,0.9198339581489563,,,,,,,1,"7,19",7.19,price_tag_crops\tag_0003_price_7_19.jpg,,"""7.19",32,__Unknown__,0.6825850605964661,True,True,137.97191743249783,32,__Unknown__,137.97191743249783,2,0.06018518518518518,0.09955752212389381,0.07014093739757457,False,0,32,__Unknown__,0.6825850605964661,True,True,False,,,,,,,137.97191743249783,-26.0,135.5,722.0,1445.0,696.0,1580.5,aligned_unknown
IMG_7283.HEIC,4,0.9584307074546814,1918,1997,2047,2065,promo,True,yellow_vs_image_white,yellow_vs_image_white,,,white,0.9565217391304348,image_mixed_palette_white_anchor,yellow,0.0,0.997289972899729,61.0,147.0,0.5271317829457365,8772,0.9883943661971831,0.9809885931558935,3,"3,69",3.69,0.9809225797653198,,,,,,,1,"3,69",3.69,price_tag_crops\tag_0004_price_3_69.jpg,,"3,69",38,__Unknown__,0.47584807872772217,True,True,210.12972183867754,38,__Unknown__,210.12972183867754,3,0.21733668341708542,0.1362126245847176,0.23095794587555718,False,0,38,__Unknown__,0.47584807872772217,True,True,False,,,,,,,210.12972183867754,-86.5,191.5,2069.0,1839.5,1982.5,2031.0,aligned_unknown
IMG_7283.HEIC,5,0.9581438899040222,680,3421,865,3602,promo,True,shelf_size_outlier,yellow_vs_image_white,shelf_size_outlier,,white,0.9565217391304348,image_mixed_palette_white_anchor,yellow,0.0,0.9076210826210827,59.0,153.0,0.9783783783783784,33485,3.7729577464788733,3.7729577464788733,7,,,,,,,,,,0,,,price_tag_crops\tag_0005_price_not_found.jpg,price_not_found,COOS POS BA GOTA | DE | 99,11,__Unknown__,0.6277834971745809,True,True,219.65882636488797,11,__Unknown__,219.65882636488797,7,0.044854881266490766,0.4820627802690583,0.09306115929339659,False,0,11,__Unknown__,0.6277834971745809,True,True,False,,,,,,,219.65882636488797,-17.0,219.0,789.5,3292.5,772.5,3511.5,aligned_unknown
IMG_7283.HEIC,6,0.9567186832427979,709,2380,837,2447,regular,False,image_base_color,matches_image_base_color,,,white,0.9565217391304348,image_mixed_palette_white_anchor,white,0.0,0.0,-3.0,8.0,0.5234375,8576,0.9663098591549296,0.20938522388788516,4,"6,29",6.29,0.999893307685852,,,,,,,1,"6,29",6.29,price_tag_crops\tag_0006_price_6_29.jpg,,"6,29",35,__Unknown__,0.5997875928878784,True,True,108.9977063978871,35,__Unknown__,108.9977063978871,4,0.11994609164420485,0.32916666666666666,0.1528627583108715,False,0,35,__Unknown__,0.5997875928878784,True,True,False,,,,,,,108.9977063978871,44.5,99.5,728.5,2314.0,773.0,2413.5,aligned_unknown
IMG_7283.HEIC,7,0.95644611120224,1078,2749,1200,2814,regular,False,image_base_color,matches_image_base_color,,,white,0.9565217391304348,image_mixed_palette_white_anchor,white,0.0,0.0,-6.0,15.0,0.5327868852459017,7930,0.8935211267605634,0.976,5,"3,19",3.19,0.9933841228485107,,,,,,,1,"3,19",3.19,price_tag_crops\tag_0007_price_3_19.jpg,,"3,19 | An | 1",9,__Unknown__,0.6835100253423055,True,True,197.40377402673943,9,__Unknown__,197.40377402673943,5,0.21865443425076453,0.15949820788530467,0.234604255039295,False,0,9,__Unknown__,0.6835100253423055,True,True,False,,,,,,,197.40377402673943,71.5,184.0,1067.5,2597.5,1139.0,2781.5,aligned_unknown
IMG_7283.HEIC,8,0.9563007354736328,1426,2745,1550,2813,regular,False,image_base_color,matches_image_base_color,,,white,0.9565217391304348,image_mixed_palette_white_anchor,white,0.0,0.0,-5.0,13.0,0.5483870967741935,8432,0.9500845070422536,1.0377846153846153,5,"6,29",6.29,0.9985727667808533,,,,,,,1,"6,29",6.29,price_tag_crops\tag_0008_price_6_29.jpg,,"6,29 | Mn | ",13,__Unknown__,0.6542726357777914,True,True,185.00608098113963,13,__Unknown__,185.00608098113963,5,0.0029940119760479044,0.17518248175182483,0.020512260151230387,False,0,13,__Unknown__,0.6542726357777914,True,True,False,,,,,,,185.00608098113963,-1.5,185.0,1489.5,2594.0,1488.0,2779.0,aligned_unknown
IMG_7283.HEIC,9,0.954649806022644,170,652,315,719,regular,False,image_base_color,matches_image_base_color,,,white,0.9565217391304348,image_mixed_palette_white_anchor,white,0.0,0.0,-8.0,23.0,0.46206896551724136,9715,1.0946478873239436,1.0,0,"5,89",5.89,0.9177392721176147,,,,,,,1,"5,89",5.89,price_tag_crops\tag_0009_price_5_89.jpg,,"5,89",56,__Unknown__,0.5307005643844604,True,True,131.75166033109412,56,__Unknown__,131.75166033109412,0,0.28594771241830064,0.5260416666666666,0.3385518790849673,False,0,56,__Unknown__,0.5307005643844604,True,True,False,,,,,,,131.75166033109412,87.5,98.5,155.0,587.0,242.5,685.5,aligned_unknown
