source_image,product_index,detector_confidence,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,crop_file,final_pred,is_rejected,best_label,best_score,effective_score_threshold,threshold_offset,second_label,second_score,margin,reject_reasons,nearest_price_tag_index,nearest_price,nearest_price_value,nearest_secondary_price,nearest_secondary_price_value,nearest_tertiary_price,nearest_tertiary_price_value,nearest_prices,nearest_price_values,nearest_sale_classification,nearest_is_promo,nearest_sale_reason,nearest_tag_color,price_tag_distance_px,aligned_price_tag_indices,aligned_price_tag_count
IMG_7283.HEIC,0,0.9654245972633362,1197,2814,1515,3088,product_crops\product_0000_conf_0.97.jpg,__Unknown__,True,RANCHEIRO__RANCHEIRO COOKIES CHOCOLATE RANCHEIRO,0.5516355633735657,0.72,0.0,RANCHEIRO__RANCHEIRO BISCOITO MARIA RANCHEIRO,0.5357052882512411,0.01593027512232459,['low_score'],,,,,,,,,,,,,,,,0
IMG_7283.HEIC,1,0.9567764401435852,542,2817,869,3107,product_crops\product_0001_conf_0.96.jpg,RANCHEIRO__RANCHEIRO COOKIES CHOCOLATE RANCHEIRO,False,RANCHEIRO__RANCHEIRO COOKIES CHOCOLATE RANCHEIRO,0.7813494801521301,0.72,0.0,,,,[],23,"4,29",4.29,,,,,"4,29",4.29,regular,False,image_base_color,white,196.90733861387696,23,1
IMG_7283.HEIC,2,0.9458633065223694,1520,2810,1840,3099,product_crops\product_0002_conf_0.95.jpg,RANCHEIRO__RANCHEIRO COOKIES CHOCOLATE RANCHEIRO,False,RANCHEIRO__RANCHEIRO COOKIES CHOCOLATE RANCHEIRO,0.7871862649917603,0.72,0.0,RANCHEIRO__RANCHEIRO COOKIES RANCHEIRO,0.7821355909109116,0.005050674080848694,[],,,,,,,,,,,,,,,,0
IMG_7283.HEIC,3,0.9422332048416138,985,3184,1347,3406,product_crops\product_0003_conf_0.94.jpg,__Unknown__,True,RANCHEIRO__RANCHEIRO COOKIES CHOCOLATE RANCHEIRO,0.5206957578659057,0.72,0.0,,,,['low_score'],15,"4,09",4.09,,,,,"4,09",4.09,promo,True,yellow_vs_image_white,yellow,152.79561512032996,15,1
IMG_7283.HEIC,4,0.9401869177818298,1744,2443,2219,2721,product_crops\product_0004_conf_0.94.jpg,__Unknown__,True,Mabel__Mabel Cookie Mabel Original com gotas de chocolate,0.6658598184585571,0.72,0.0,RANCHEIRO__RANCHEIRO COOKIES RANCHEIRO,0.6431857347488403,0.022674083709716797,['low_score'],,,,,,,,,,,,,,,,0
IMG_7283.HEIC,5,0.9360781311988831,874,2816,1190,3094,product_crops\product_0005_conf_0.94.jpg,RANCHEIRO__RANCHEIRO COOKIES CHOCOLATE RANCHEIRO,False,RANCHEIRO__RANCHEIRO COOKIES CHOCOLATE RANCHEIRO,0.8779217958450317,0.72,0.0,,,,[],,,,,,,,,,,,,,,,0
IMG_7283.HEIC,6,0.9339423775672913,193,2817,534,3109,product_crops\product_0006_conf_0.93.jpg,RANCHEIRO__RANCHEIRO COOKIES CHOCOLATE RANCHEIRO,False,RANCHEIRO__RANCHEIRO COOKIES CHOCOLATE RANCHEIRO,0.8777214527130127,0.72,0.0,,,,[],,,,,,,,,,,,,,,,0
IMG_7283.HEIC,7,0.9305229783058167,520,2454,904,2734,product_crops\product_0007_conf_0.93.jpg,__Unknown__,True,RANCHEIRO__RANCHEIRO ROSQ RECHEADA RANCHEIRO CHOC-COCO,0.5964189767837524,0.71,-0.010000000000000009,RANCHEIRO__RANCHEIRO BISCOITO MAIZENA RANCHEIRO,0.5741653740406036,0.022253602743148804,['low_score'],,,,,,,,,,,,,,,,0
IMG_7283.HEIC,8,0.9228722453117371,644,1691,1069,1996,product_crops\product_0008_conf_0.92.jpg,__Unknown__,True,RANCHEIRO__RANCHEIRO COOKIES CHOCOLATE RANCHEIRO,0.6124119758605957,0.72,0.0,RANCHEIRO__RANCHEIRO COOKIES RANCHEIRO,0.6112085580825806,0.0012034177780151367,['low_score'],,,,,,,,,,,,,,,,0
IMG_7283.HEIC,9,0.9103632569313049,904,2458,1231,2737,product_crops\product_0009_conf_0.91.jpg,__Unknown__,True,RANCHEIRO__RANCHEIRO COOKIES CHOCOLATE RANCHEIRO,0.6835100253423055,0.72,0.0,RANCHEIRO__RANCHEIRO COOKIES RANCHEIRO,0.6614105105400085,0.022099514802296993,['low_score'],7,"3,19",3.19,,,,,"3,19",3.19,regular,False,image_base_color,white,197.40377402673943,7,1
IMG_7283.HEIC,10,0.9061552286148071,1842,2811,2180,3108,product_crops\product_0010_conf_0.91.jpg,RANCHEIRO__RANCHEIRO COOKIES RANCHEIRO,False,RANCHEIRO__RANCHEIRO COOKIES RANCHEIRO,0.8097852349281311,0.68,-0.039999999999999925,,,,[],,,,,,,,,,,,,,,,0
IMG_7283.HEIC,11,0.8987731337547302,600,3181,979,3404,product_crops\product_0011_conf_0.90.jpg,__Unknown__,True,RANCHEIRO__RANCHEIRO COOKIES CHOCOLATE RANCHEIRO,0.6277834971745809,0.72,0.0,RANCHEIRO__RANCHEIRO COOKIES RANCHEIRO,0.6052850782871246,0.022498418887456295,['low_score'],5,,,,,,,,,promo,True,shelf_size_outlier,yellow,219.65882636488797,5,1
IMG_7283.HEIC,12,0.8905695080757141,1351,3191,1726,3408,product_crops\product_0012_conf_0.89.jpg,__Unknown__,True,RANCHEIRO__RANCHEIRO BISCOITO MAIZENA RANCHEIRO,0.45516344904899597,0.76,0.040000000000000036,RANCHEIRO__RANCHEIRO ROSQUINHA RECHEADA DE MORANGO-CARAMELO RANCHEIRO,0.44853511452674866,0.0066283345222473145,['low_score'],,,,,,,,,,,,,,,,0
IMG_7283.HEIC,13,0.8864770531654358,1239,2457,1740,2731,product_crops\product_0013_conf_0.89.jpg,__Unknown__,True,RANCHEIRO__RANCHEIRO ROSQ RECHEADA RANCHEIRO CHOC-COCO,0.6542726357777914,0.71,-0.010000000000000009,RANCHEIRO__RANCHEIRO COOKIES RANCHEIRO,0.6382349729537964,0.01603766282399499,['low_score'],8,"6,29",6.29,,,,,"6,29",6.29,regular,False,image_base_color,white,185.00608098113963,8,1
IMG_7283.HEIC,14,0.8795209527015686,223,1706,631,1991,product_crops\product_0014_conf_0.88.jpg,__Unknown__,True,Mabel__Mabel Cookie Mabel Chocolate com gotas de chocolate,0.5424442887306213,0.72,0.0,Mabel__Mabel Cookie Mabel Original com gotas de chocolate,0.519779235124588,0.022665053606033325,['low_score'],0,"2,19",2.19,,,,,"2,19",2.19,promo,True,yellow_vs_image_white,yellow,253.6518283001327,0,1
IMG_7283.HEIC,15,0.8744994401931763,121,2448,516,2738,product_crops\product_0015_conf_0.87.jpg,__Unknown__,True,Mabel__Mabel Recheado Mabel Sabor Chocolate,0.5804632902145386,0.72,0.0,RANCHEIRO__RANCHEIRO WAFER RANCHEIRO CHOCOLATE,0.5755004286766052,0.00496286153793335,['low_score'],10,"6,29",6.29,,,,,"6,29",6.29,regular,False,image_base_color,white,239.4227432805831,10,1
IMG_7283.HEIC,16,0.8656747937202454,1546,295,1904,400,product_crops\product_0016_conf_0.87.jpg,__Unknown__,True,RANCHEIRO__RANCHEIRO COOKIES RANCHEIRO,0.5830015540122986,0.68,-0.039999999999999925,RANCHEIRO__RANCHEIRO COOKIES CHOCOLATE RANCHEIRO,0.5806902647018433,0.0023112893104553223,['low_score'],,,,,,,,,,,,,,,,0
IMG_7283.HEIC,17,0.8600330948829651,1466,1704,1876,1994,product_crops\product_0017_conf_0.86.jpg,__Unknown__,True,RANCHEIRO__RANCHEIRO COOKIES CHOCOLATE RANCHEIRO,0.5456357399622599,0.72,0.0,RANCHEIRO__RANCHEIRO COOKIES RANCHEIRO,0.5334791541099548,0.012156585852305057,['low_score'],1,"2,19",2.19,,,,,"2,19",2.19,promo,True,yellow_vs_image_white,yellow,184.28578349943328,1,1
IMG_7283.HEIC,18,0.8429247736930847,132,1438,506,1560,product_crops\product_0018_conf_0.84.jpg,__Unknown__,True,RANCHEIRO__RANCHEIRO COOKIES RANCHEIRO,0.6734514236450195,0.68,-0.039999999999999925,RANCHEIRO__RANCHEIRO COOKIES CHOCOLATE RANCHEIRO,0.6580636501312256,0.015387773513793945,['low_score'],11,"8,59",8.59,,,,,"8,59",8.59,regular,False,image_base_color,white,84.02380615040002,11,1
IMG_7283.HEIC,19,0.8367088437080383,313,458,663,647,product_crops\product_0019_conf_0.84.jpg,__Unknown__,True,RANCHEIRO__RANCHEIRO COOKIES CHOCOLATE RANCHEIRO,0.655870258808136,0.72,0.0,RANCHEIRO__RANCHEIRO COOKIES RANCHEIRO,0.6449575424194336,0.010912716388702393,['low_score'],,,,,,,,,,,,,,,,0
IMG_7283.HEIC,20,0.8336344361305237,949,2167,1296,2261,product_crops\product_0020_conf_0.83.jpg,__Unknown__,True,RANCHEIRO__RANCHEIRO COOKIES RANCHEIRO,0.5149720311164856,0.68,-0.039999999999999925,Adoralle__Adoralle Alimentos Laminados Doces Coco,0.494474321603775,0.02049770951271057,['low_score'],,,,,,,,,,,,,,,,0
IMG_7283.HEIC,21,0.8256718516349792,935,2070,1322,2164,product_crops\product_0021_conf_0.83.jpg,__Unknown__,True,RANCHEIRO__RANCHEIRO BISCOITO MARIA RANCHEIRO,0.5202346642812093,0.72,0.0,Mabel__Mabel Recheado Mabel Sabor Chocolate,0.4966207444667816,0.02361391981442773,['low_score'],,,,,,,,,,,,,,,,0
IMG_7283.HEIC,22,0.8223087787628174,218,3174,602,3408,product_crops\product_0022_conf_0.82.jpg,__Unknown__,True,RANCHEIRO__RANCHEIRO COOKIES CHOCOLATE RANCHEIRO,0.5919392585754395,0.72,0.0,,,,['low_score'],20,"24,99",24.99,,,,,"24,99",24.99,promo,True,yellow_vs_image_white,yellow,267.4009162287968,20,1
IMG_7283.HEIC,23,0.8201833367347717,1737,2073,2127,2374,product_crops\product_0023_conf_0.82.jpg,__Unknown__,True,RANCHEIRO__RANCHEIRO WAFER RANCHEIRO MORANGO,0.5564470887184143,0.72,0.0,RANCHEIRO__RANCHEIRO BISCOITO MARIA RANCHEIRO,0.5507469177246094,0.005700170993804932,['low_score'],,,,,,,,,,,,,,,,0
IMG_7283.HEIC,24,0.8193905353546143,824,313,1198,420,product_crops\product_0024_conf_0.82.jpg,__Unknown__,True,RANCHEIRO__RANCHEIRO CREAM CRACKER 65 RANCHEIRO,0.601574182510376,0.75,0.030000000000000027,Adoralle__Adoralle Alimentos Laminados Doces Leite,0.5914639035860697,0.01011027892430627,['low_score'],19,"5,89",5.89,,,,,"5,89",5.89,regular,False,image_base_color,white,377.5569493467178,19,1
IMG_7283.HEIC,25,0.8117706179618835,0,2046,199,2191,product_crops\product_0025_conf_0.81.jpg,__Unknown__,True,RANCHEIRO__RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO,0.4562777429819107,0.62,-0.09999999999999998,RANCHEIRO__RANCHEIRO BISCOITO MARIA RANCHEIRO,0.4191397428512573,0.03713800013065338,['low_score'],,,,,,,,,,,,,,,,0
IMG_7283.HEIC,26,0.8049638271331787,1333,2074,1731,2374,product_crops\product_0026_conf_0.80.jpg,__Unknown__,True,Adoralle__Adoralle Alimentos Laminados Doces Coco,0.5364629030227661,0.72,0.0,RANCHEIRO__RANCHEIRO COOKIES RANCHEIRO,0.5341635942459106,0.0022993087768554688,['low_score'],,,,,,,,,,,,,,,,0
IMG_7283.HEIC,27,0.7962732315063477,1,2185,203,2312,product_crops\product_0027_conf_0.80.jpg,__Unknown__,True,RANCHEIRO__RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO,0.544498602549235,0.62,-0.09999999999999998,RANCHEIRO__RANCHEIRO ROSQUINHA RECHEADA DE MORANGO-CARAMELO RANCHEIRO,0.5431251525878906,0.001373449961344364,['low_score'],,,,,,,,,,,,,,,,0
IMG_7283.HEIC,28,0.7922224402427673,1556,401,1916,494,product_crops\product_0028_conf_0.79.jpg,__Unknown__,True,RANCHEIRO__RANCHEIRO COOKIES CHOCOLATE RANCHEIRO,0.6065726280212402,0.72,0.0,RANCHEIRO__RANCHEIRO COOKIES RANCHEIRO,0.5949909090995789,0.011581718921661377,['low_score'],13,"5,89",5.89,,,,,"5,89",5.89,regular,False,image_base_color,white,250.13846165673922,13,1
